V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
11,4,4,5,7,2,2,0,6,17,13,8,4,3,6,2,6,3,1,1
13,10,12,24,25,20,11,15,44,72,54,51,91,52,13,9,13,11,15,28
11,0,0,17,21,16,17,25,38,35,49,30,18,14,8,7,7,19,3,8
0,3,3,1,2,1,1,5,7,10,8,7,0,0,1,1,0,0,0,0
14,22,26,59,132,182,184,310,376,332,411,366,266,183,118,63,80,92,127,234
85,79,28,14,38,51,85,140,234,254,300,323,321,368,380,179,237,226,112,87
8,11,14,14,14,7,7,11,8,13,8,11,7,5,1,2,4,7,6,10
4,5,2,6,8,5,8,24,36,42,58,46,56,57,32,16,12,9,8,20
2,0,6,3,5,3,6,4,5,13,22,14,8,3,0,0,0,0,0,0
2,2,2,3,11,4,3,6,5,6,6,0,0,5,12,10,2,2,1,0
155,95,64,69,95,167,177,137,256,280,217,221,217,102,51,29,14,18,22,20
18,14,9,3,3,8,16,18,35,57,45,18,11,9,3,2,5,15,16,4
10,8,22,51,103,211,237,245,242,295,322,315,204,171,121,101,69,39,48,81
17,11,7,11,14,28,14,14,22,52,66,46,21,8,15,24,22,24,17,21
6,13,12,12,18,10,10,11,8,4,9,22,26,8,10,7,7,7,7,7
7,8,13,10,11,8,4,8,11,12,15,3,6,2,1,12,5,7,11,4
10,12,4,2,0,0,0,0,0,0,0,1,0,0,3,3,5,7,3,4
3,3,6,4,6,8,7,10,8,3,3,4,4,8,8,3,0,0,0,0
31,14,17,5,7,1,1,3,4,4,2,0,3,8,1,4,3,0,3,3
6,4,4,9,8,5,6,11,10,3,0,0,2,3,4,5,2,5,4,3
23,17,19,9,16,24,6,4,14,26,29,34,34,17,12,5,3,13,19,11
0,0,1,8,9,2,4,10,6,9,10,8,10,11,20,15,6,0,2,3
32,7,2,4,31,110,165,160,122,70,48,60,94,220,305,220,267,369,180,103
48,45,44,41,39,55,36,21,21,16,21,20,13,18,11,6,5,4,5,19
29,19,9,28,53,117,172,151,197,103,42,12,8,9,17,52,79,49,21,15
4,4,6,14,12,13,11,14,12,7,17,15,9,8,7,1,6,10,7,4
3,2,5,13,10,7,9,5,3,2,11,14,14,19,9,2,2,12,33,24
164,125,71,36,22,13,15,93,179,146,190,214,169,112,43,18,23,35,68,84
20,12,5,11,7,5,9,41,69,91,91,60,35,17,10,8,20,14,5,1
28,30,31,16,14,23,11,15,11,19,29,18,18,24,27,21,12,7,4,2
6,5,5,4,1,10,14,10,17,17,13,12,19,23,26,31,22,37,37,13
20,17,26,21,37,22,32,38,67,81,58,31,9,27,36,50,49,77,67,42
0,11,13,10,22,25,9,7,17,10,33,18,10,12,26,28,11,2,0,0
4,5,3,2,0,0,4,2,2,2,2,1,1,2,3,1,1,4,1,0
3,3,0,3,4,0,10,10,7,7,11,3,0,0,0,0,2,2,0,0
