V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
13,24,22,6,4,3,4,26,49,43,30,23,7,6,9,9,1,1,0,0
86,73,67,72,42,38,17,12,68,92,43,46,17,11,26,42,59,62,29,15
138,102,98,133,184,215,166,129,71,78,72,130,145,142,81,45,27,18,19,14
17,14,2,1,1,6,9,8,14,33,58,86,98,109,104,84,57,26,12,4
111,107,63,41,25,19,21,39,89,137,97,56,53,69,46,26,18,27,48,51
207,238,221,138,122,164,228,206,135,177,161,55,23,21,31,66,71,11,10,16
23,16,9,9,5,7,29,71,107,78,20,21,20,13,9,15,29,20,21,17
3,9,4,2,3,17,29,74,88,66,60,49,35,10,11,23,32,8,8,1
17,18,11,15,23,26,34,49,66,34,32,41,72,97,147,122,104,194,254,170
16,22,18,12,9,15,32,76,86,79,62,91,57,7,4,7,7,10,12,13
47,46,22,19,13,51,105,96,78,125,100,74,48,41,23,16,22,18,15,15
24,62,138,160,86,137,295,375,341,215,166,102,4,0,0,2,13,0,0,7
23,25,30,39,53,67,48,29,35,55,94,156,121,51,44,174,147,46,24,35
12,51,88,141,160,250,384,277,145,62,81,80,87,67,59,84,82,78,58,18
7,17,13,4,4,3,8,12,39,50,40,34,110,75,15,8,4,0,1,14
15,6,2,9,7,13,19,11,16,19,3,9,4,0,3,3,0,6,7,5
10,16,24,13,12,17,9,43,128,168,91,164,139,40,24,4,5,11,15,11
92,132,115,97,66,36,18,16,20,52,75,104,83,47,28,22,28,33,25,21
5,2,10,13,14,25,47,93,70,67,49,28,19,14,18,23,28,30,35,27
63,61,52,36,35,47,35,14,7,6,17,41,77,153,135,41,148,217,174,186
4,10,36,64,68,33,13,35,113,165,131,137,133,87,39,9,7,13,20,35
0,0,0,0,0,0,0,0,10,67,60,15,29,12,23,20,7,7,33,35
2,6,17,28,55,41,11,27,30,25,59,69,60,18,7,8,20,32,23,26
12,11,9,2,3,2,12,64,96,86,74,70,106,55,0,0,6,1,5,1
2,4,5,2,10,11,6,6,8,5,19,26,26,33,29,19,22,11,4,4
3,5,7,3,3,2,4,18,14,19,21,14,8,4,1,5,8,1,0,0
3,0,0,0,0,3,7,47,97,83,106,130,72,30,11,0,4,4,0,0
15,19,10,9,5,12,34,60,74,63,50,61,42,12,12,9,16,12,7,10
3,2,3,3,2,2,5,20,64,98,66,38,23,19,14,12,16,5,0,23
11,18,38,48,29,15,33,38,65,87,110,113,58,43,24,23,21,36,30,29
36,37,23,25,64,92,138,158,163,189,205,155,117,44,14,14,12,13,32,40
23,46,34,36,33,11,29,37,28,69,95,121,155,167,167,172,241,282,271,170
1,1,4,2,15,46,49,45,42,48,58,31,19,4,2,2,10,10,7,3
8,9,23,20,6,4,5,20,78,90,59,88,100,44,10,4,2,6,24,26
19,25,27,20,27,24,59,104,135,142,108,90,26,13,3,5,8,14,17,3
76,125,230,325,226,170,149,76,43,57,33,44,39,24,38,29,25,25,34,39
37,70,364,506,337,307,231,105,49,29,50,117,106,46,27,7,26,73,154,196
22,26,27,19,9,8,14,38,73,194,281,260,154,118,181,226,201,69,34,20
4,5,2,0,5,7,0,7,13,0,0,3,3,2,2,0,17,14,1,1
7,11,4,4,3,11,22,21,20,22,38,22,27,17,20,21,20,22,19,16
17,34,41,57,39,15,13,16,23,77,196,194,72,52,101,151,129,34,21,13
7,14,16,4,1,1,6,28,33,37,33,47,33,11,7,7,9,9,6,3
10,13,13,13,7,10,22,58,121,140,110,94,56,88,51,33,21,16,21,17
30,32,17,18,24,32,32,66,131,139,81,82,25,54,152,112,98,95,61,39
12,13,12,14,14,5,5,16,15,8,15,17,14,10,5,5,0,0,0,0
37,18,5,16,49,69,87,62,75,96,105,95,58,65,58,28,10,16,30,37
11,19,15,25,6,17,29,49,69,76,51,75,102,70,60,54,45,23,14,14
50,52,49,75,57,25,29,33,36,65,99,97,98,134,35,5,17,10,2,5
3,3,9,16,15,6,16,48,69,78,78,110,82,41,15,7,8,2,7,6
20,8,8,12,28,39,74,87,128,197,184,211,237,143,118,98,81,34,24,16
12,8,12,34,47,40,35,33,31,37,66,178,333,532,659,482,199,122,171,246
6,4,7,3,6,9,16,51,96,114,125,108,90,52,7,8,14,22,10,10
29,22,18,18,27,280,623,481,308,186,94,32,16,8,11,17,18,26,11,12
0,0,0,0,2,8,0,23,104,104,42,50,52,14,3,4,7,8,14,10
26,43,65,53,19,40,63,142,227,181,151,292,183,37,9,8,26,48,45,19
9,11,8,13,13,18,19,29,75,82,72,89,76,45,11,3,0,14,18,7
173,186,224,244,194,218,132,132,67,29,24,36,54,58,28,14,4,6,13,13
20,22,21,21,28,19,78,180,216,131,117,154,55,17,10,13,36,55,58,24
24,43,54,48,19,19,23,62,237,324,271,351,228,123,228,135,52,20,10,29
12,0,9,26,21,33,46,210,385,178,234,315,138,65,19,13,59,35,20,25
24,25,46,56,61,71,72,81,85,66,91,139,167,206,171,120,211,174,117,69
16,22,28,19,7,22,68,126,138,96,107,154,128,35,16,25,23,44,55,40
275,171,180,276,224,244,191,88,77,52,28,24,19,15,31,57,178,380,278,262
1,0,0,3,3,1,1,4,8,6,3,16,9,9,13,38,30,15,7,7
6,14,11,18,12,11,11,12,7,9,24,16,16,8,9,3,0,0,0,3
0,4,7,3,4,2,8,54,138,122,104,183,122,16,16,11,11,9,0,0
11,14,10,1,0,0,4,15,20,32,30,8,2,1,2,2,10,11,10,9
54,96,117,263,382,255,120,119,152,211,156,109,66,61,92,170,154,58,43,27
13,28,30,28,14,17,28,83,163,186,146,186,138,36,18,13,29,47,39,23
23,40,44,80,107,178,204,188,309,289,217,173,110,109,69,39,20,30,32,42
40,55,45,36,105,204,251,300,239,171,150,184,263,209,87,57,37,40,63,44
17,52,42,12,6,7,35,124,179,85,216,355,188,79,49,28,42,83,81,51
5,31,40,21,16,18,18,15,94,99,44,94,43,13,10,11,15,22,29,7
34,38,33,43,48,39,21,10,11,15,15,6,4,4,3,2,2,0,1,3
6,4,6,2,4,10,12,19,29,33,26,20,16,11,3,4,5,6,7,8
5,11,9,7,8,7,8,15,18,19,22,23,22,27,22,21,15,24,18,10
12,4,6,5,9,16,24,64,61,37,33,29,10,9,8,4,4,6,1,0
10,9,27,30,16,44,55,48,38,35,31,27,21,5,8,11,6,5,4,5
14,13,15,6,11,15,17,23,50,55,56,60,39,16,8,4,11,7,10,15
10,13,28,25,16,8,10,15,18,20,21,19,16,14,12,9,7,11,15,12
14,27,14,11,23,23,27,23,9,9,24,42,43,42,28,23,40,19,10,14
17,24,39,43,22,16,11,19,19,16,29,44,64,103,111,92,95,126,100,48
