"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "x"
"5061" 1 4 5 7 2 2 2 1 1 0 0 0 3 4 3 4 4 1 0 15 1
"5062" 3 3 11 12 7 10 17 9 12 6 3 5 12 11 6 7 11 9 10 8 1
"5063" 23 10 9 1 2 7 7 5 11 5 8 7 4 0 1 5 5 2 4 6 1
"5064" 8 0 1 1 5 1 2 0 7 16 11 12 8 3 1 6 15 9 2 5 1
"5065" 17 20 31 31 25 15 10 22 31 22 44 48 39 17 6 11 19 30 18 23 1
"5066" 24 25 18 11 5 9 40 57 55 84 111 97 86 79 90 106 57 15 8 13 1
"5067" 13 13 20 25 9 7 7 11 13 18 16 12 12 10 12 1 5 18 27 22 1
"5068" 6 9 7 9 4 6 31 54 102 194 165 135 104 65 88 67 40 15 7 12 1
"5069" 8 4 6 5 5 3 0 5 3 12 12 8 2 2 0 3 3 13 13 10 1
"5070" 70 51 46 39 33 11 29 95 132 172 188 268 210 115 38 13 20 60 66 51 1
"5071" 5 4 6 0 3 11 8 7 10 10 13 14 9 3 3 1 0 2 1 0 1
"5072" 9 14 11 9 9 16 34 61 52 21 23 14 3 14 24 37 31 6 5 25 1
"5073" 10 12 15 9 11 10 14 13 38 80 76 47 51 32 6 5 6 6 17 13 1
"5074" 2 3 3 2 5 8 7 6 5 1 3 5 5 3 3 2 14 5 0 3 1
"5075" 147 145 117 100 105 71 41 15 11 15 19 7 8 2 0 8 14 7 6 5 1
"5076" 6 9 11 10 6 2 3 7 9 9 17 12 20 15 5 6 8 8 2 5 1
"5077" 12 11 12 12 26 24 3 13 9 49 72 42 17 23 22 6 3 3 6 5 1
"5078" 2 1 4 0 1 3 1 7 7 5 2 4 4 0 1 1 0 0 1 0 1
"5079" 9 8 6 10 9 6 7 15 6 5 5 10 2 3 2 5 6 4 12 10 1
"5080" 0 0 0 0 0 0 0 0 0 11 14 14 19 9 4 9 3 0 1 4 1
"5081" 28 23 17 12 14 34 90 177 150 230 317 194 175 137 85 65 50 39 30 29 1
"5082" 69 64 49 23 14 19 27 75 151 164 182 178 46 74 48 20 37 57 39 19 1
"5083" 9 14 5 9 21 16 14 8 20 33 39 29 13 21 7 8 4 7 7 7 1
"5084" 13 3 6 5 4 8 12 29 27 36 63 98 62 34 37 23 7 6 5 13 1
"5085" 2 0 0 0 1 0 0 10 28 42 38 42 26 15 6 5 6 4 3 4 1
"5086" 2 1 5 6 11 11 5 6 16 18 12 18 8 9 6 12 15 10 18 15 1
"5087" 26 19 23 14 9 16 11 25 48 93 147 143 176 151 82 71 46 26 24 36 1
"5088" 1 4 7 3 1 6 6 3 0 0 0 0 3 3 3 0 0 0 3 3 1
"5089" 4 3 3 2 1 1 6 6 4 8 13 5 1 5 5 1 3 10 10 0 1
"5090" 5 5 3 3 2 1 7 8 7 8 2 2 1 10 20 10 2 4 16 13 1
"5091" 2 1 2 2 3 1 1 7 8 8 2 1 1 3 2 3 0 0 1 2 1
"5092" 87 100 134 96 62 14 3 14 32 26 26 18 12 9 8 6 0 1 3 5 1
"5093" 6 5 2 1 1 8 10 32 65 53 55 88 63 13 5 7 6 12 8 7 1
"5094" 81 101 70 29 17 15 17 39 119 118 123 106 49 47 67 77 42 18 13 43 1
"5095" 0 4 12 44 73 122 391 609 467 367 333 169 104 57 32 45 65 65 46 23 1
"5096" 4 1 6 4 6 8 9 5 9 16 29 21 13 15 12 6 3 3 3 6 1
"5097" 0 2 2 2 2 0 1 4 2 3 3 0 0 0 1 1 0 0 0 0 1
"5098" 0 0 7 18 16 17 8 6 4 2 10 10 3 7 13 21 9 6 8 7 1
"5099" 6 7 8 0 1 8 7 3 2 9 1 0 2 0 2 1 0 0 0 0 1
"5100" 30 20 28 30 18 17 27 33 43 76 160 108 79 58 18 14 17 13 7 8 1
"5101" 190 134 159 104 38 33 30 40 69 99 87 77 46 15 11 3 8 10 30 56 1
"5102" 12 37 62 48 29 29 21 22 27 39 26 3 3 7 11 6 8 1 0 0 1
"5103" 13 7 6 8 6 2 9 4 0 4 8 14 12 5 5 3 2 3 7 2 1
"5104" 40 40 53 60 73 82 110 186 239 245 205 263 369 401 254 132 155 180 175 107 1
"5105" 33 33 74 77 68 61 116 144 165 210 289 393 395 347 198 435 455 208 75 17 1
"5106" 17 10 15 9 9 10 14 22 43 55 41 23 17 4 5 13 12 17 6 10 1
"5107" 7 3 3 5 4 14 9 5 14 5 2 2 3 2 6 7 8 10 8 7 1
"5108" 77 18 13 9 4 10 29 114 217 271 208 194 98 48 13 7 7 10 10 8 1
"5109" 7 14 12 16 7 2 5 7 11 8 4 15 10 4 9 11 10 11 17 21 1
"5110" 2 3 11 5 8 4 7 6 20 37 19 23 30 14 4 3 3 6 5 8 1
"5111" 16 5 7 12 11 1 3 4 0 2 2 8 3 0 0 0 0 0 5 6 1
"5112" 36 36 32 10 34 73 121 357 458 361 547 710 379 126 63 34 32 55 84 100 1
"5113" 45 40 38 27 16 52 134 168 76 171 223 107 76 61 49 25 15 6 12 14 1
"5114" 2 8 7 4 4 2 3 1 0 7 9 4 15 15 7 3 3 4 3 2 1
"5115" 2 6 10 8 11 3 22 41 38 71 56 72 64 21 7 8 0 0 0 3 1
"5116" 7 9 9 12 20 10 7 11 12 25 18 9 6 3 7 11 10 17 6 6 1
"5117" 24 20 13 20 30 49 54 87 165 219 168 166 275 241 183 195 84 40 17 17 1
"5118" 33 23 9 12 10 13 21 22 23 31 26 38 38 27 23 16 8 10 5 5 1
"5119" 4 7 6 3 3 7 5 3 1 0 1 7 8 16 10 0 2 3 5 5 1
"5120" 20 13 16 16 39 46 59 66 39 21 30 46 143 154 140 100 48 53 101 204 1
"5121" 8 6 9 7 6 8 10 7 9 10 11 6 3 3 6 2 6 10 8 8 1
"5122" 18 35 73 111 126 106 142 129 99 147 141 195 184 144 81 48 26 18 7 8 1
"5123" 14 9 23 64 112 152 159 171 304 222 191 192 119 84 60 51 123 232 155 61 1
"5124" 3 10 19 11 8 7 4 15 20 44 46 55 57 28 20 5 4 9 7 8 1
"5125" 33 66 112 83 56 58 66 105 211 202 76 85 113 72 36 26 15 32 34 30 1
"5126" 4 11 17 12 2 3 5 8 10 10 11 5 7 5 0 0 0 1 5 0 1
"5127" 6 1 6 5 7 11 14 25 31 46 27 3 14 23 15 16 17 12 14 7 1
"5128" 10 8 8 5 3 6 9 9 17 17 11 8 10 3 5 9 9 4 0 8 1
"5129" 47 37 78 73 71 105 74 103 85 30 18 17 18 15 17 0 0 8 8 13 1
"5130" 2 28 54 75 52 27 34 29 21 23 51 52 42 29 19 17 18 27 15 18 1
"5131" 4 3 2 0 4 11 6 9 3 2 7 2 2 4 8 4 5 0 3 4 1
"5132" 7 8 4 2 1 4 3 1 5 8 13 6 1 1 2 7 4 2 4 8 1
"5133" 4 8 3 10 16 11 13 29 43 37 35 24 7 2 0 2 3 1 1 3 1
"5134" 7 3 3 8 12 3 4 7 33 55 38 35 26 5 13 13 7 13 14 7 1
"5135" 2 4 11 11 4 14 16 7 5 24 32 26 40 26 19 17 13 12 6 11 1
"5136" 63 98 150 164 166 101 44 47 49 35 34 35 34 35 27 22 34 30 23 29 1
"5137" 6 2 2 7 5 3 7 8 10 24 15 12 17 13 13 1 10 7 5 8 1
"5138" 8 12 12 27 66 85 88 115 158 239 289 242 259 316 205 199 168 127 34 34 1
"5139" 13 8 14 7 7 6 11 25 47 48 97 125 120 100 101 105 113 72 56 38 1
"5140" 3 0 0 2 5 2 3 4 4 6 5 7 0 0 5 8 5 5 0 3 1
"5141" 9 6 3 7 11 36 41 51 80 60 41 20 10 10 13 9 15 17 15 19 1
"5142" 8 6 0 8 10 8 3 5 5 2 2 1 1 9 6 7 8 4 0 1 1
"5143" 10 6 6 8 7 6 6 10 23 21 10 6 6 2 4 4 6 1 5 3 1
"5144" 1 4 4 1 3 5 7 5 4 10 16 6 7 6 9 8 3 4 3 6 1
"5145" 66 56 41 25 23 46 99 195 312 259 142 105 90 63 32 11 6 9 14 17 1
"5146" 0 5 5 0 0 1 6 9 1 10 6 6 8 3 3 0 1 3 1 2 1
"5147" 12 10 12 17 7 10 9 22 32 24 30 10 8 4 9 13 7 16 5 1 1
"5148" 8 10 7 11 10 5 11 18 25 38 38 24 29 18 18 23 18 9 3 0 1
"5149" 37 71 165 229 196 160 212 217 286 241 211 371 268 193 230 175 86 53 42 14 1
"5150" 2 3 8 9 22 19 10 13 12 7 8 8 7 11 4 4 5 8 9 2 1
"5151" 8 4 14 13 7 11 8 13 6 3 3 5 3 4 7 3 8 7 6 8 1
"5152" 2 2 1 5 3 2 13 25 12 10 11 6 2 5 8 3 1 2 0 0 1
"5153" 81 65 61 72 34 32 42 48 104 158 214 302 177 182 165 255 171 86 115 174 1
"5154" 349 281 473 437 302 216 267 423 504 342 197 183 86 92 71 45 45 45 55 28 1
"5155" 1 8 8 2 7 21 10 3 13 8 14 8 9 14 11 15 15 10 5 0 1
"5156" 31 65 52 22 23 56 39 30 35 26 15 3 7 5 0 0 0 0 0 0 1
"5157" 9 2 2 6 9 8 7 6 4 7 6 5 2 7 6 14 14 10 1 0 1
"5158" 0 0 0 4 6 9 8 11 11 6 11 5 11 2 2 5 4 5 5 4 1
"5159" 1 3 5 3 0 2 14 13 11 11 10 9 8 2 2 2 0 4 4 0 1
"5160" 4 5 9 5 0 0 0 2 2 1 1 1 3 0 0 0 0 1 1 0 1
"5161" 34 16 6 11 35 26 132 254 183 164 168 114 69 19 13 16 20 30 21 20 1
"5162" 119 34 0 0 0 0 5 39 137 228 119 68 78 57 26 22 17 32 41 48 1
"5163" 30 37 18 26 21 22 24 24 52 86 96 119 99 26 26 32 24 32 20 11 1
"5164" 5 4 4 5 11 16 11 7 5 11 15 8 5 8 10 10 13 10 9 6 1
"5165" 2 6 10 9 4 2 0 2 2 3 6 6 8 14 8 4 1 4 2 2 1
"5166" 50 33 28 23 48 113 151 165 231 294 218 232 171 81 54 28 35 26 34 40 1
"5167" 4 1 3 2 0 1 2 2 8 11 11 7 4 4 5 6 5 6 6 1 1
"5168" 2 2 1 0 1 1 0 1 3 14 15 2 10 4 3 3 0 4 5 8 1
"5169" 14 11 13 14 24 39 18 5 1 1 4 3 5 6 4 3 2 7 14 14 1
"5170" 10 3 5 5 11 10 29 42 45 46 91 99 63 26 12 13 8 16 14 13 1
"5171" 7 31 47 82 135 131 302 242 188 171 399 852 481 371 219 287 174 56 45 25 1
"5172" 9 11 8 12 17 12 18 15 19 22 20 15 10 18 23 12 8 3 6 8 1
"5173" 110 98 65 30 38 69 51 32 21 68 88 67 38 32 26 16 18 20 14 17 1
"5174" 0 0 0 1 0 0 0 5 12 12 7 1 4 6 6 1 2 2 3 7 1
"5175" 4 4 1 1 0 0 0 35 46 44 111 109 75 26 82 87 11 11 7 12 1
"5176" 24 24 25 29 21 20 26 37 81 80 58 64 84 160 220 102 44 25 29 32 1
"5177" 28 25 33 42 170 229 228 196 263 335 253 258 228 159 157 108 79 39 30 14 1
"5178" 5 1 4 4 1 3 0 2 0 0 0 0 5 4 6 3 0 2 2 1 1
"5179" 3 1 3 13 16 6 3 10 7 6 6 7 5 5 2 5 3 4 7 2 1
"5180" 22 50 35 54 81 46 31 47 107 147 156 170 175 159 123 21 16 9 21 28 1
"5181" 0 1 0 0 0 0 0 0 3 4 5 6 2 0 0 2 4 2 8 6 1
"5182" 118 112 108 66 52 93 122 98 57 60 60 65 38 28 30 22 16 16 12 19 1
"5183" 5 1 4 4 5 3 11 22 19 8 16 6 4 14 17 11 25 42 30 13 1
"5184" 2 4 6 5 3 4 7 4 3 2 0 1 6 7 2 1 2 2 1 6 1
"5185" 12 11 13 8 18 32 61 84 122 143 199 157 75 67 68 46 33 26 30 18 1
"5186" 0 5 1 0 0 4 9 1 3 5 3 0 2 3 1 3 7 5 0 0 1
"5187" 9 8 15 8 12 18 10 10 9 28 50 51 36 21 7 14 12 1 3 8 1
"5188" 15 31 22 10 25 25 14 25 17 29 27 23 21 10 16 18 31 33 19 3 1
"5189" 0 0 0 0 0 0 0 1 8 10 6 8 0 6 9 3 3 6 5 2 1
"5190" 5 1 7 3 4 4 9 9 8 13 19 8 7 10 6 3 3 4 5 4 1
"5191" 8 3 7 4 6 6 6 9 5 4 7 3 5 9 4 1 6 0 0 0 1
"5192" 15 20 16 8 8 6 7 4 2 11 13 18 16 24 11 8 20 38 12 15 1
"5193" 28 41 67 57 95 213 397 409 289 207 116 44 39 38 31 32 21 21 20 17 1
"5194" 4 0 0 0 1 1 0 1 3 0 9 10 2 5 5 1 3 7 4 0 1
"5195" 1 3 3 2 2 0 0 0 0 0 1 1 7 7 1 6 5 0 0 0 1
"5196" 8 11 0 0 0 0 0 12 16 23 19 12 34 55 64 54 31 15 2 0 1
"5197" 0 4 6 9 7 3 3 8 7 8 8 3 14 16 8 4 6 6 5 3 1
"5198" 5 3 0 0 0 3 3 0 1 1 1 2 0 1 1 0 0 0 0 3 1
"5199" 1 0 0 1 4 7 10 11 12 8 16 6 3 0 0 0 1 3 5 5 1
"5200" 12 7 13 13 8 9 4 11 23 40 55 38 11 9 6 8 8 4 10 20 1
"5201" 4 0 5 2 3 5 5 5 3 5 6 2 4 6 2 3 5 5 0 4 1
"5202" 25 31 20 12 15 17 24 70 72 66 57 28 25 10 5 23 22 16 10 13 1
"5203" 3 3 7 7 8 14 22 22 29 40 36 48 54 37 116 101 57 67 76 65 1
"5204" 7 7 6 11 12 7 7 5 6 19 13 12 10 6 7 6 9 18 17 5 1
"5205" 159 102 167 219 293 425 367 448 467 417 936 760 682 554 238 213 228 158 87 52 1
"5206" 5 6 5 2 5 5 1 0 0 5 7 10 9 5 7 3 5 13 5 10 1
"5207" 30 29 15 13 23 44 113 162 156 166 176 163 144 67 15 23 26 23 18 13 1
"5208" 22 27 52 68 117 131 65 103 89 62 56 51 55 60 73 62 47 36 43 31 1
"5209" 27 13 14 25 45 73 104 49 75 246 272 209 124 46 11 8 17 21 29 8 1
"5210" 7 17 14 14 12 9 20 26 19 13 15 12 5 2 3 12 14 9 9 11 1
"5211" 9 4 4 4 5 5 1 3 13 8 1 0 6 8 7 4 0 0 1 2 1
"5212" 10 6 15 19 13 22 14 3 4 11 15 15 16 9 12 18 17 3 9 11 1
"5213" 7 16 12 12 14 11 6 3 6 5 6 9 13 10 8 11 13 10 10 15 1
"5214" 7 2 4 8 9 7 16 13 14 13 7 3 4 9 14 6 15 14 3 13 1
"5215" 11 8 8 3 7 3 1 2 3 2 3 5 5 6 3 7 3 5 4 1 1
"5216" 32 14 5 13 16 12 13 12 19 18 6 13 18 9 22 15 8 7 7 15 1
"5217" 17 12 17 14 6 8 15 10 12 8 9 10 6 7 13 7 7 4 4 6 1
"5218" 3 0 0 0 0 0 0 9 12 7 6 6 6 3 3 6 4 1 8 11 1
"5219" 8 4 5 11 12 12 7 12 6 9 10 5 9 13 6 2 3 8 9 4 1
"5220" 7 16 26 17 5 17 44 86 127 188 238 231 199 76 23 19 22 17 19 60 1
"5221" 0 0 0 0 0 2 17 9 9 18 20 27 24 16 24 19 18 14 15 8 1
"5222" 47 39 52 50 65 52 57 100 131 146 159 145 123 86 100 80 61 37 33 33 1
"5223" 0 0 0 0 0 0 3 4 2 4 11 8 0 6 8 4 4 1 3 9 1
"5224" 8 15 24 25 28 30 25 31 79 128 131 150 115 66 24 3 0 0 0 0 1
"5225" 1 2 3 2 0 2 3 1 1 1 7 6 3 2 3 2 8 6 2 6 1
"5226" 22 24 20 12 9 21 93 119 203 188 76 38 63 44 97 124 71 34 22 15 1
"5227" 2 3 4 8 10 8 8 3 13 7 3 2 9 8 6 4 9 18 8 2 1
"5228" 19 12 7 2 7 22 60 104 59 71 78 28 5 3 1 2 7 8 6 5 1
"5229" 10 8 2 2 1 2 5 6 4 14 16 10 6 12 10 3 13 20 11 11 1
"5230" 2 8 6 0 0 0 0 2 2 0 0 2 3 1 0 0 0 0 0 0 1
"5231" 50 32 11 10 4 7 20 23 9 9 27 28 17 11 5 3 0 0 3 3 1
"5232" 5 1 6 6 7 11 6 9 20 27 30 23 18 14 31 19 14 9 5 11 1
"5233" 41 78 74 41 59 113 341 423 332 197 244 193 64 18 14 7 14 15 10 16 1
"5234" 37 16 7 9 6 13 24 12 7 28 26 6 8 13 18 12 17 17 2 0 1
"5235" 2 0 0 2 1 1 0 3 4 8 17 11 4 8 8 11 9 0 1 3 1
"5236" 0 0 1 11 17 9 6 12 14 18 29 20 12 11 5 0 1 2 4 4 1
"5237" 32 55 70 40 24 20 22 40 72 70 67 90 94 64 38 40 40 63 65 62 1
"5238" 3 7 3 1 1 0 0 3 6 3 1 2 3 3 1 4 6 5 7 0 1
"5239" 3 2 1 2 7 6 2 4 3 12 5 6 7 6 12 13 13 9 0 5 1
"5240" 0 3 6 10 18 12 15 21 18 16 8 4 4 9 6 18 18 9 9 7 1
"5241" 11 12 7 5 8 4 0 3 16 15 9 6 5 14 9 6 8 6 7 12 1
"5242" 4 0 3 4 1 4 3 1 0 4 6 8 10 7 7 3 1 1 0 0 1
"5243" 7 7 17 22 13 21 15 14 19 10 10 13 9 10 6 14 8 0 10 14 1
"5244" 7 7 9 7 3 5 3 3 5 5 12 9 4 8 5 4 8 9 4 4 1
"5245" 1 3 1 4 7 15 10 5 7 8 6 12 4 2 12 11 10 33 29 30 1
"5246" 8 15 20 21 7 7 16 31 48 38 27 26 14 12 12 9 14 7 2 6 1
"5247" 10 6 6 3 4 7 16 6 0 10 13 14 9 5 3 1 7 16 15 18 1
"5248" 1 4 12 10 11 14 16 13 9 19 10 10 8 8 5 7 9 12 2 8 1
"5249" 39 52 101 151 199 124 108 136 127 133 95 40 43 26 4 22 17 64 85 111 1
"5250" 9 19 16 11 11 12 5 0 9 28 26 19 11 12 9 12 6 4 2 1 1
"5251" 3 2 3 3 7 6 5 9 2 4 7 8 0 1 3 0 0 2 3 3 1
"5252" 3 6 5 2 4 15 10 2 4 5 12 2 0 2 3 7 6 0 2 7 1
"5253" 2 6 8 2 3 14 14 8 17 21 38 22 10 12 17 7 4 1 0 0 1
"5254" 0 2 131 194 137 114 125 97 47 21 55 71 38 26 24 16 10 18 23 30 1
"5255" 13 13 17 21 41 36 33 43 34 57 56 56 65 22 38 35 18 7 9 11 1
"5256" 5 8 3 6 13 8 8 4 5 9 6 1 7 8 5 5 3 7 7 4 1
"5257" 5 9 6 12 7 5 3 6 6 4 5 1 3 6 4 6 6 4 3 4 1
"5258" 63 43 42 40 37 23 28 66 166 176 100 97 67 29 15 22 37 40 12 36 1
"5259" 6 7 12 14 16 9 19 63 94 66 64 130 197 145 97 74 59 49 32 71 1
"5260" 0 1 3 3 5 4 2 0 0 3 3 5 12 11 2 11 15 12 9 8 1
"5261" 0 0 0 0 9 9 4 7 3 5 8 10 22 15 3 4 2 1 1 5 1
"5262" 32 43 26 29 24 32 162 69 125 178 257 208 92 172 205 196 219 142 82 36 1
"5263" 3 4 2 3 5 3 2 3 7 10 25 13 3 2 9 11 2 6 6 3 1
"5264" 13 19 21 21 10 8 19 14 11 13 11 9 13 11 6 5 4 6 21 20 1
"5265" 11 16 13 27 46 79 132 115 163 163 178 216 128 66 30 39 41 14 32 38 1
"5266" 4 4 6 6 5 1 3 7 6 6 3 1 0 4 4 5 9 7 5 3 1
"5267" 9 4 3 1 0 9 16 6 5 6 8 5 4 4 0 0 3 3 2 0 1
"5268" 25 18 12 12 37 50 83 92 130 166 184 134 58 46 25 10 16 17 28 25 1
"5269" 12 9 5 1 4 0 5 2 2 2 4 8 3 0 0 0 4 10 8 6 1
"5270" 17 9 17 13 7 8 9 10 5 4 8 7 6 4 27 26 14 8 6 4 1
"5271" 13 22 16 14 7 8 8 15 58 64 84 92 73 83 61 19 12 12 13 26 1
"5272" 5 0 4 4 4 9 7 10 8 5 3 5 7 13 9 3 8 4 2 4 1
"5273" 66 94 131 202 266 181 218 221 224 168 166 115 46 70 58 50 87 89 53 42 1
"5274" 9 4 3 2 3 4 2 6 8 10 11 16 11 4 6 12 5 4 3 2 1
"5275" 0 2 0 6 10 9 2 4 2 3 1 0 0 0 0 0 0 0 0 0 1
"5276" 1 3 10 11 2 2 4 12 20 14 13 15 10 12 6 6 5 9 5 1 1
"5277" 3 7 3 2 2 3 5 5 5 0 2 3 5 5 3 3 1 2 3 1 1
"5278" 0 4 7 8 9 9 12 31 76 99 80 52 44 20 8 12 9 19 17 11 1
"5279" 111 96 55 43 28 9 1 12 19 12 14 11 10 17 21 36 19 10 6 6 1
"5280" 1 1 0 1 6 6 3 0 1 1 4 3 2 7 1 0 1 1 0 0 1
"5281" 8 5 4 3 5 6 12 8 3 7 7 4 4 1 8 6 2 0 3 3 1
"5282" 10 3 1 4 16 17 19 35 25 16 5 12 10 5 2 2 2 9 7 5 1
"5283" 3 3 4 5 6 3 2 5 12 4 2 2 2 5 3 2 0 3 5 5 1
"5284" 2 1 0 0 1 0 2 2 4 2 5 3 4 1 6 4 1 0 0 2 1
"5285" 5 3 3 4 4 9 9 5 3 2 3 11 6 7 4 7 6 2 0 0 1
"5286" 3 5 9 11 4 4 7 13 17 10 6 9 8 5 6 13 10 4 6 7 1
"5287" 8 3 9 5 11 28 23 21 15 27 36 32 26 18 14 23 46 77 54 34 1
"5288" 23 30 24 74 100 105 129 181 218 262 229 217 143 42 14 1 0 0 2 0 1
"5289" 4 0 0 3 3 1 9 12 5 4 22 14 10 8 4 5 3 5 1 2 1
"5290" 7 10 5 4 1 0 8 9 8 9 8 7 7 4 4 4 5 7 5 2 1
"5291" 6 2 3 5 5 3 2 2 3 2 2 3 3 3 5 0 8 7 3 9 1
"5292" 3 7 4 6 9 8 4 13 14 21 19 16 13 12 6 1 2 3 4 4 1
"5293" 14 8 14 21 34 25 31 29 25 34 35 38 41 34 45 51 27 18 29 43 1
"5294" 0 0 0 0 0 0 9 14 24 20 30 13 8 5 7 9 9 6 5 5 1
"5295" 7 7 7 14 9 11 12 16 29 32 25 19 12 16 12 9 16 14 5 3 1
"5296" 6 7 3 7 2 6 3 5 11 7 10 19 19 8 7 11 3 7 9 15 1
"5297" 10 3 0 4 4 9 5 4 6 5 8 10 6 8 8 6 3 0 2 6 1
"5298" 6 12 46 64 141 180 104 221 242 178 102 9 62 111 44 28 26 27 21 20 1
"5299" 14 1 18 17 6 10 13 8 13 18 9 4 1 3 2 1 6 5 14 13 1
"5300" 19 16 7 9 6 2 2 10 15 13 21 6 0 0 0 0 0 0 2 2 1
"5301" 14 22 50 67 59 57 24 10 40 71 137 253 270 311 374 242 96 89 38 41 1
"5302" 11 21 19 22 32 28 23 20 8 11 8 17 21 21 10 5 2 9 14 18 1
"5303" 7 5 2 0 4 6 2 1 2 9 7 8 5 4 1 2 3 1 0 0 1
"5304" 6 5 9 7 20 35 21 22 19 14 18 6 9 13 16 13 11 5 1 9 1
"5305" 8 0 2 2 0 0 3 7 5 14 13 10 13 6 2 9 7 1 4 8 1
"5306" 1 1 2 9 5 0 5 6 5 5 2 3 6 7 4 1 5 9 4 0 1
"5307" 94 51 15 19 13 13 31 30 24 49 61 56 47 24 11 11 11 6 2 7 1
"5308" 10 10 14 12 14 17 11 13 12 17 7 14 9 5 5 11 11 7 7 9 1
"5309" 4 8 12 7 15 9 4 4 0 0 5 12 10 15 7 4 7 7 0 2 1
"5310" 11 6 7 3 2 8 13 12 11 5 6 5 5 6 7 14 4 6 6 8 1
"5311" 0 0 1 1 11 6 0 3 4 6 4 3 12 12 2 1 2 4 4 1 1
"5312" 3 0 0 2 3 4 3 2 3 4 5 2 6 7 12 11 13 6 5 2 1
"5313" 9 13 24 18 30 101 64 10 43 13 46 66 22 21 22 29 1 11 36 20 1
"5314" 7 0 0 0 1 1 4 7 3 1 2 0 2 4 3 1 3 3 0 2 1
"5315" 37 22 39 78 111 243 219 203 212 149 166 144 82 41 14 7 49 74 77 74 1
"5316" 0 2 1 0 1 6 5 10 5 9 11 5 5 6 3 2 0 2 2 3 1
"5317" 10 16 15 6 13 19 48 54 90 139 104 61 50 50 28 21 13 12 13 11 1
"5318" 0 0 0 0 0 0 0 8 8 3 2 3 5 14 12 7 6 6 6 4 1
"5319" 15 15 18 20 31 23 15 19 24 15 9 19 21 29 27 17 22 20 21 19 1
"5320" 16 38 38 18 16 21 35 52 121 161 103 153 144 91 31 9 11 30 31 34 1
"5321" 1 1 7 8 7 9 3 0 2 7 6 13 14 3 0 5 6 0 8 7 1
"5322" 3 12 5 3 4 5 6 32 92 103 72 45 19 11 5 6 4 6 9 8 1
"5323" 8 2 7 11 9 12 21 26 16 27 27 9 5 4 0 0 1 0 7 7 1
"5324" 14 0 10 11 17 57 81 109 133 206 200 134 153 279 330 251 139 205 135 54 1
"5325" 0 3 6 2 6 4 1 1 5 12 26 16 23 28 14 8 10 2 4 4 1
"5326" 11 3 10 12 3 3 2 4 9 12 12 5 6 4 2 1 1 3 4 3 1
"5327" 25 13 21 24 38 138 187 93 270 319 157 24 23 24 7 6 16 16 4 22 1
"5328" 0 0 0 2 7 8 5 7 8 10 14 12 4 0 2 2 0 0 0 0 1
"5329" 0 2 7 3 3 1 3 4 3 4 6 7 6 9 12 4 0 3 9 9 1
"5330" 23 35 17 8 14 12 9 17 33 27 26 29 17 28 43 13 9 12 19 22 1
"5331" 0 0 0 7 10 5 12 7 6 13 15 10 7 5 6 10 11 3 10 13 1
"5332" 1 6 11 3 9 16 9 7 7 10 16 14 7 8 3 2 4 5 4 0 1
"5333" 5 8 8 16 21 10 8 15 42 62 61 41 5 6 19 16 18 34 54 26 1
"5334" 0 0 0 3 8 9 18 13 1 3 14 15 10 10 6 6 7 7 3 2 1
"5335" 9 8 12 12 13 15 5 14 73 120 116 72 63 49 33 6 9 5 10 17 1
"5336" 21 28 14 23 13 4 19 16 25 78 142 177 53 36 33 15 12 17 25 33 1
"5337" 5 8 9 2 2 1 0 0 0 1 4 1 2 2 9 8 1 3 6 4 1
"5338" 6 5 6 7 4 7 5 0 3 2 13 14 1 4 8 9 7 6 23 21 1
"5339" 68 65 61 59 90 98 73 156 212 136 133 94 63 101 160 201 161 93 187 186 1
"5340" 12 16 8 10 15 22 30 33 9 30 33 30 23 19 21 20 38 34 32 24 1
"5341" 8 2 3 17 19 13 10 6 6 5 14 9 10 8 9 11 7 6 4 2 1
"5342" 1 1 3 5 0 7 12 19 4 2 4 3 3 3 2 2 0 7 2 1 1
"5343" 28 41 34 14 6 15 9 26 47 33 17 15 30 25 20 23 13 14 10 12 1
"5344" 49 26 17 14 4 3 8 18 29 41 41 23 11 8 5 1 0 1 1 3 1
"5345" 26 25 22 20 30 40 33 53 75 129 165 135 120 68 38 20 10 16 10 18 1
"5346" 216 224 99 45 43 40 49 85 91 93 63 54 65 76 32 10 6 8 12 5 1
"5347" 50 133 207 175 215 268 294 319 198 124 153 250 235 335 272 73 33 29 71 133 1
"5348" 11 6 19 26 20 19 16 29 26 29 35 17 18 30 27 20 33 30 23 25 1
"5349" 0 3 34 30 7 0 15 20 34 4 11 41 40 19 10 4 0 16 19 8 1
"5350" 13 5 5 16 13 6 14 11 16 12 7 6 11 25 22 11 8 9 17 20 1
"5351" 3 5 5 4 4 4 5 13 14 13 17 20 16 9 10 17 13 6 6 23 1
"5352" 1 2 1 0 0 0 0 5 6 2 1 3 3 1 0 4 2 0 0 0 1
"5353" 57 79 35 82 88 41 33 24 19 22 41 106 150 122 95 71 69 38 30 49 1
"5354" 0 0 0 0 0 4 68 183 202 130 154 173 69 33 24 8 8 24 22 40 1
"5355" 10 6 7 11 3 0 2 0 0 8 9 3 5 6 5 2 1 9 14 2 1
"5356" 0 0 1 3 6 7 3 5 13 15 19 10 28 21 5 9 5 12 21 15 1
